STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FINANCING_SCHEME,Financing scheme,FINANCING_SCHEME_REV,Revenues of financing schemes,FUNCTION,Health function,MODE_PROVISION,Mode of provision,PROVIDER,Healthcare provider,FACTOR_PROVISION,Factor of provision,ASSET_TYPE,Asset type,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,CURRENCY,Currency,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.1),Health expenditure and financing,I,GBR,United Kingdom,A,Annual,EXP_HEALTH,Expenditure,USD_PPP_PS,"US dollars per person, PPP converted",HF2HF3,Voluntary schemes/household out-of-pocket payments,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2019,,1045.233,,2020,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.1),Health expenditure and financing,I,GBR,United Kingdom,A,Annual,EXP_HEALTH,Expenditure,USD_PPP_PS,"US dollars per person, PPP converted",HF2HF3,Voluntary schemes/household out-of-pocket payments,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,921.545,,2020,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.1),Health expenditure and financing,I,GBR,United Kingdom,A,Annual,EXP_HEALTH,Expenditure,USD_PPP_PS,"US dollars per person, PPP converted",HF2HF3,Voluntary schemes/household out-of-pocket payments,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,1014.836,,2020,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.1),Health expenditure and financing,I,GBR,United Kingdom,A,Annual,EXP_HEALTH,Expenditure,USD_PPP_PS,"US dollars per person, PPP converted",HF2HF3,Voluntary schemes/household out-of-pocket payments,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,1044.004,,2020,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.1),Health expenditure and financing,I,GBR,United Kingdom,A,Annual,EXP_HEALTH,Expenditure,USD_PPP_PS,"US dollars per person, PPP converted",HF2HF3,Voluntary schemes/household out-of-pocket payments,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2023,,1010.958,,2020,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.1),Health expenditure and financing,I,GBR,United Kingdom,A,Annual,EXP_HEALTH,Expenditure,USD_PPP_PS,"US dollars per person, PPP converted",HF2HF3,Voluntary schemes/household out-of-pocket payments,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2024,,1044.338,,2020,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.1),Health expenditure and financing,I,GBR,United Kingdom,A,Annual,EXP_HEALTH,Expenditure,USD_PPP_PS,"US dollars per person, PPP converted",HF1,Government/compulsory schemes,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2015,,3643.709,,2020,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.1),Health expenditure and financing,I,GBR,United Kingdom,A,Annual,EXP_HEALTH,Expenditure,USD_PPP_PS,"US dollars per person, PPP converted",HF1,Government/compulsory schemes,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2016,,3707.808,,2020,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.1),Health expenditure and financing,I,GBR,United Kingdom,A,Annual,EXP_HEALTH,Expenditure,USD_PPP_PS,"US dollars per person, PPP converted",HF1,Government/compulsory schemes,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2017,,3712.285,,2020,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.1),Health expenditure and financing,I,GBR,United Kingdom,A,Annual,EXP_HEALTH,Expenditure,USD_PPP_PS,"US dollars per person, PPP converted",HF1,Government/compulsory schemes,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2018,,3769.804,,2020,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.1),Health expenditure and financing,I,GBR,United Kingdom,A,Annual,EXP_HEALTH,Expenditure,USD_PPP_PS,"US dollars per person, PPP converted",HF1,Government/compulsory schemes,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2019,,3905.257,,2020,,,,,,,,,,0,Units,1,One
